id,genre
279,18
279,36
110416,10751
110416,16
110416,14
10242,18
10242,27
10242,53
673,12
673,14
106646,80
106646,18
106646,35
524,80
524,18
1580,80
1580,53
213,9648
213,53
488623,18
488623,9648
488623,53
23128,99
25376,80
25376,18
25376,9648
13223,18
1091,27
1091,9648
1091,878
7857,35
7857,18
627,18
627,80
3083,35
3083,18
522212,18
1578,18
1578,36
491480,18
491480,36
242828,16
242828,18
32085,16
32085,14
10515,12
10515,14
10515,16
10515,28
10515,10751
10515,10749
17295,18
17295,10752
17295,36
359724,18
359724,28
359724,36
3777,18
3777,36
11010,35
11010,18
11010,10749
316029,18
5925,12
5925,18
5925,36
5925,53
5925,10752
947,12
947,18
947,36
947,10752
414419,80
414419,28
24,28
24,80
583083,35
583083,10749
515042,99
515042,12
334533,12
334533,18
3112,80
3112,18
3112,53
60243,18
446159,9648
446159,37
446159,53
223,18
223,9648
223,53
223,10749
609242,35
609242,53
609242,80
775,12
775,14
775,878
70,18
579245,35
579245,18
152532,18
152532,36
76203,18
76203,36
20453,18
20453,35
331482,18
331482,10749
405,18
862,16
862,12
862,10751
862,35
149,16
149,878
149,28
530915,10752
530915,18
530915,28
530915,53
234,18
234,27
234,53
234,80
829,80
829,18
829,9648
829,53
369557,35
369557,10749
369557,18
369557,10402
142061,28
142061,16
142061,9648
3034,35
76,18
76,10749
150540,16
150540,10751
150540,12
150540,18
150540,35
1892,12
1892,28
1892,878
662,10749
662,878
640,18
640,80
430424,18
430424,80
430424,10752
11658,28
11658,12
11658,18
11658,36
11658,10752
301,37
8290,35
8290,10752
2011,16
2011,18
745,9648
745,53
745,18
83564,16
83564,10751
78,878
78,18
78,53
14160,16
14160,35
14160,10751
14160,12
393729,18
293299,16
293299,35
293299,18
293299,10751
197,28
197,18
197,36
197,10752
10674,16
10674,10751
10674,12
5924,80
5924,18
631,18
631,10749
33,37
9323,28
9323,16
9323,878
16,18
16,80
505192,18
505192,80
7984,18
379170,80
379170,18
379170,9648
1402,18
118340,28
118340,878
118340,12
6977,80
6977,18
6977,53
113833,18
5511,80
5511,53
671,12
671,14
194,35
194,10749
10774,18
827,18
827,27
827,53
5544,18
5544,36
5544,10749
506574,10751
506574,10770
506574,10402
506574,12
506574,14
752,28
752,53
752,14
81,12
81,16
81,14
381341,35
381341,18
656563,35
656563,10749
398924,18
398924,10752
266856,18
266856,10749
804,35
804,10749
804,18
85,12
85,28
329,12
329,878
158999,99
10386,16
10386,10751
10386,12
10386,28
10386,878
10386,35
593,18
593,878
593,9648
37797,16
37797,18
37797,10751
122906,35
122906,18
122906,10749
122906,14
455714,35
455714,18
455714,80
455714,53
93,80
93,18
93,9648
93,53
423612,18
423612,53
423612,10749
679,28
679,53
679,878
359156,80
359156,18
11036,10749
11036,18
210577,9648
210577,53
210577,18
13398,16
13398,18
391,37
152601,10749
152601,878
152601,18
11293,35
11293,80
11293,18
313369,35
313369,18
313369,10749
313369,10402
949,28
949,80
949,18
949,53
275,80
275,18
275,53
